id,label,B2,B3,B4,B5,B8,B11,B12,NDWI,NDTI,NDCI,TSI,AWEIn,TSS_mgL,pH,Turbidity_NTU,Chlorophyll_ugL,Conductivity_uScm,EColi_CFU,Coliform_CFU,FreeChlorine_mgL
SP01,Gorge Dam NE,0.0412,0.0578,0.0389,0.0456,0.0234,0.0123,0.0098,0.4236,-0.1953,0.0794,57.94,0.1834,0.6,7.1,0.5,5.8,285,0,120,1.2
SP02,Gorge Dam E,0.0398,0.0562,0.0401,0.0448,0.0245,0.0134,0.0102,0.3926,-0.1742,0.0554,55.54,0.1712,0.8,7.0,0.7,4.9,310,0,180,0.9
SP03,Gorge Dam Center,0.0425,0.0591,0.0378,0.0462,0.0228,0.0118,0.0094,0.4432,-0.2199,0.0999,59.99,0.1923,0.4,7.2,0.3,6.4,265,0,95,1.5
SP04,Gorge Dam SW,0.0408,0.0570,0.0395,0.0451,0.0239,0.0128,0.0100,0.4092,-0.1810,0.0662,56.62,0.1778,0.7,7.1,0.5,5.3,295,0,140,1.1
SP05,Gorge Dam Wall,0.0435,0.0602,0.0412,0.0478,0.0256,0.0142,0.0112,0.4034,-0.1459,0.0739,57.39,0.1654,0.5,7.0,0.4,5.6,280,0,110,1.3
SP06,Dam Inlet West,0.0489,0.0645,0.0523,0.0534,0.0312,0.0189,0.0156,0.3481,0.0289,0.0105,51.05,0.1234,3.8,6.6,3.2,3.2,425,2,850,0.3
SP07,Dam NW Shore,0.0445,0.0610,0.0425,0.0485,0.0260,0.0145,0.0115,0.4022,-0.1405,0.0660,56.60,0.1642,1.0,6.9,0.8,5.1,320,0,200,0.8
SP08,Dam W Center,0.0420,0.0585,0.0395,0.0460,0.0240,0.0130,0.0102,0.4182,-0.1856,0.0766,57.66,0.1798,0.7,7.0,0.5,5.5,300,0,160,1.0
SP09,Inlet Channel,0.0475,0.0635,0.0510,0.0525,0.0305,0.0182,0.0150,0.3512,0.0212,0.0147,51.47,0.1285,3.2,6.7,2.8,3.5,410,1,780,0.4
SP10,Upper Reservoir S,0.0460,0.0620,0.0485,0.0510,0.0290,0.0170,0.0140,0.3615,-0.0094,0.0250,52.50,0.1390,2.2,6.8,1.8,3.9,385,0,520,0.5
SP11,Upper Reservoir N,0.0440,0.0605,0.0420,0.0480,0.0258,0.0148,0.0118,0.4005,-0.1350,0.0667,56.67,0.1625,1.1,6.9,0.9,5.0,330,0,220,0.7
SP12,Feeder NE,0.0450,0.0615,0.0445,0.0490,0.0270,0.0155,0.0125,0.3898,-0.1070,0.0482,54.82,0.1555,1.5,6.8,1.2,4.5,350,0,310,0.6
SP13,Feeder NW,0.0455,0.0620,0.0460,0.0500,0.0278,0.0162,0.0132,0.3825,-0.0780,0.0417,54.17,0.1500,1.8,6.8,1.5,4.2,365,0,380,0.5
SP14,Tailings E,0.0534,0.0698,0.0612,0.0589,0.0378,0.0234,0.0198,0.2975,0.1245,0.0189,51.89,0.0856,6.4,6.4,5.6,2.8,520,4,1200,0.2
SP15,Tailings NE,0.0510,0.0680,0.0580,0.0565,0.0358,0.0218,0.0185,0.3098,0.1052,0.0132,51.32,0.0945,5.2,6.5,4.5,3.0,495,3,1050,0.2
SP16,Tailings Outfall,0.0542,0.0708,0.0628,0.0598,0.0388,0.0242,0.0205,0.2918,0.1389,0.0123,51.23,0.0798,7.1,6.3,6.2,2.6,545,5,1350,0.1
SP17,Pipeline N,0.0500,0.0670,0.0560,0.0548,0.0342,0.0205,0.0172,0.3192,0.0878,0.0110,51.10,0.1025,4.5,6.6,3.8,3.1,465,2,920,0.3
SP18,Pipeline Mid,0.0495,0.0660,0.0545,0.0540,0.0335,0.0198,0.0165,0.3268,0.0752,0.0046,50.46,0.1078,4.0,6.6,3.5,3.2,450,2,880,0.3
SP19,Pipeline Intake,0.0520,0.0690,0.0595,0.0575,0.0368,0.0225,0.0192,0.3042,0.1145,0.0168,51.68,0.0898,5.8,6.4,5.0,2.9,510,4,1150,0.2
SP20,Pipeline Junction,0.0505,0.0675,0.0568,0.0555,0.0350,0.0210,0.0178,0.3155,0.0945,0.0118,51.18,0.0985,4.8,6.5,4.2,3.0,480,3,980,0.2
SP21,Upstream Channel,0.0430,0.0598,0.0408,0.0470,0.0250,0.0140,0.0110,0.4105,-0.1582,0.0710,57.10,0.1680,0.9,7.1,0.7,5.2,305,0,170,0.9
SP22,Upstream River W,0.0378,0.0545,0.0356,0.0434,0.0212,0.0108,0.0086,0.4402,-0.2097,0.0989,59.89,0.1956,0.3,7.3,0.2,6.8,240,0,65,2.1
SP23,Upstream River NW,0.0382,0.0548,0.0360,0.0438,0.0216,0.0110,0.0088,0.4348,-0.2068,0.0978,59.78,0.1934,0.3,7.4,0.2,6.6,235,0,60,2.2
SP24,Upstream Confluence,0.0415,0.0580,0.0392,0.0458,0.0242,0.0132,0.0104,0.4155,-0.1730,0.0775,57.75,0.1755,0.8,7.0,0.6,5.4,298,0,155,1.0
SP25,Downstream S,0.0468,0.0634,0.0498,0.0512,0.0298,0.0178,0.0145,0.3605,0.0098,0.0140,51.40,0.1345,2.4,6.7,2.0,3.5,395,0,520,0.4
SP26,Downstream SW,0.0472,0.0640,0.0504,0.0518,0.0302,0.0182,0.0148,0.3584,0.0156,0.0137,51.37,0.1318,2.6,6.8,2.2,3.4,400,0,540,0.4
SP27,Satellite N1,0.0395,0.0558,0.0370,0.0445,0.0225,0.0118,0.0094,0.4250,-0.1985,0.0925,59.25,0.1878,0.5,7.2,0.3,6.1,270,0,90,1.4
SP28,Satellite N2,0.0388,0.0552,0.0365,0.0440,0.0220,0.0115,0.0092,0.4300,-0.2040,0.0935,59.35,0.1895,0.4,7.2,0.3,6.3,262,0,82,1.5
SP29,Satellite NE,0.0400,0.0565,0.0378,0.0450,0.0232,0.0125,0.0098,0.4180,-0.1895,0.0870,58.70,0.1825,0.6,7.1,0.4,5.9,278,0,105,1.3
SP30,Satellite Far N,0.0385,0.0550,0.0362,0.0438,0.0218,0.0112,0.0090,0.4325,-0.2062,0.0950,59.50,0.1908,0.4,7.3,0.3,6.5,258,0,75,1.6
SP31,Mid Catchment,0.0418,0.0582,0.0398,0.0462,0.0245,0.0135,0.0106,0.4125,-0.1665,0.0745,57.45,0.1735,0.9,7.0,0.7,5.3,308,0,175,0.9
SP32,Upper Catchment,0.0392,0.0555,0.0368,0.0442,0.0222,0.0116,0.0093,0.4278,-0.2020,0.0915,59.15,0.1885,0.5,7.2,0.3,6.2,268,0,88,1.5
